duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1431,1,29,18,55,0,18,30,28
1377,1,31,15,52,0,15,31,16
1855,0,25,38,41,1,38,25,57
1654,1,32,19,54,0,19,32,28
1479,0,14,25,13,1,25,14,38
621,0,1,13,0,1,13,1,16
1574,0,25,42,24,1,42,25,50
963,0,1,14,1,1,14,1,16
1462,1,38,19,59,0,19,38,26
969,1,18,4,21,0,4,18,9
1413,0,11,27,15,1,27,11,33
1686,1,33,17,79,0,15,33,27
1394,0,13,27,23,1,27,13,43
2258,0,27,33,40,1,32,27,66
2211,0,22,38,35,1,38,23,68
1638,0,31,37,45,1,37,31,82
2230,1,46,38,89,0,38,46,74
1682,1,26,15,49,0,15,26,18
1676,1,35,21,65,0,20,35,27
928,0,2,20,1,1,20,2,20
2593,1,44,36,93,0,36,44,67
1404,1,33,10,42,0,10,33,22
1479,0,8,23,11,1,23,8,34
2289,0,36,37,58,1,37,36,70
1635,0,22,42,30,1,42,22,68
1732,1,22,10,40,0,9,22,12
1751,0,21,32,29,1,32,21,48
1395,0,15,24,16,1,24,15,41
1929,0,15,28,30,1,28,15,44
1986,1,35,28,72,0,28,36,58
1921,0,4,24,6,1,24,5,66
1387,0,11,25,23,1,25,12,44
1618,0,17,34,22,1,34,17,44
934,0,3,20,5,1,20,3,20
1658,1,27,16,37,0,16,27,24
2258,1,30,28,59,0,28,30,47
1747,1,32,27,63,0,26,32,37
1624,0,23,23,39,1,23,23,49
1761,1,17,7,37,0,7,17,9
2526,0,44,49,82,1,49,44,82
1650,1,27,19,39,0,19,27,22
1530,1,36,13,56,0,13,36,23
1652,0,16,28,25,1,28,16,59
1927,0,23,30,43,1,30,23,70
1934,1,33,18,56,0,18,33,36
1840,0,32,34,63,1,34,32,52
1393,0,16,22,18,1,22,16,32
1677,0,16,25,33,1,25,16,42
1624,0,17,50,16,1,50,17,79
1478,0,12,21,13,1,21,12,40
1460,1,31,13,35,0,13,31,18
1474,1,27,12,47,0,11,27,15
1355,1,24,15,37,0,15,24,18
1214,0,13,26,21,1,26,13,36
1442,0,13,31,20,1,31,13,45
2546,1,44,28,68,0,28,44,44
1858,1,24,35,51,0,35,24,50
1328,1,24,9,35,0,9,24,8
1820,0,29,50,38,1,50,29,69
1664,0,18,38,23,1,38,18,74
646,0,1,11,1,1,11,1,6
1830,1,35,12,63,0,12,35,19
1715,1,31,22,59,0,22,31,48
1569,1,35,19,38,0,19,36,25
1228,0,14,26,14,1,26,14,29
1808,0,16,34,23,1,34,16,52
1364,1,27,18,47,0,18,27,31
1226,1,14,8,26,0,8,14,11
1432,0,12,34,12,1,34,12,50
1192,1,31,7,20,0,7,31,12
1497,1,25,13,50,0,13,25,15
1482,1,28,13,58,0,13,28,11
1614,1,26,9,46,0,9,26,12
1725,1,23,24,34,0,24,23,28
1600,1,33,17,62,0,17,34,32
1637,1,37,22,76,0,22,37,41
1434,1,28,13,55,0,13,28,20
1638,0,24,36,38,1,36,24,41
2001,0,23,32,49,1,32,24,68
1366,1,34,16,57,0,16,34,20
1335,1,27,16,51,0,16,27,25
1903,1,31,25,50,0,25,31,40
1977,1,31,23,56,0,23,31,38
1840,1,29,21,47,0,21,29,36
1645,1,33,21,57,0,21,33,34
2291,0,35,39,75,1,39,35,49
1296,1,20,8,30,0,8,20,10
1451,1,21,20,33,0,20,22,21
1416,0,13,25,26,1,25,13,54
1156,1,29,8,53,0,8,29,9
1389,0,19,26,25,1,26,19,27
1742,1,29,21,52,0,21,29,42
1297,0,12,24,5,1,24,12,25
